campaign_name,start_date,end_date,description,media_name,published,article_type,publish_date,url,views,interactions,revenue,cost,new_customers,conversion_rate
"Ra mắt ứng dụng EduTech cho học sinh THPT - Q1/2025",2025-01-01,2025-01-31,"Giới thiệu ứng dụng học tập EduTech mới tích hợp AI cá nhân hóa, tập trung vào học sinh THPT chuẩn bị thi đại học",VnExpress,true,News Article,2025-01-15,https://vnexpress.net/edutech-app-launch,45000,280,150000000,25000000,1200,2.8
"Ra mắt ứng dụng EduTech cho học sinh THPT - Q1/2025",2025-01-01,2025-01-31,"Giới thiệu ứng dụng học tập EduTech mới tích hợp AI cá nhân hóa, tập trung vào học sinh THPT chuẩn bị thi đại học",Tuoi Tre,true,Interview,2025-01-18,https://tuoitre.vn/edutech-interview,32000,195,150000000,25000000,1200,2.8
"Ra mắt ứng dụng EduTech cho học sinh THPT - Q1/2025",2025-01-01,2025-01-31,"Giới thiệu ứng dụng học tập EduTech mới tích hợp AI cá nhân hóa, tập trung vào học sinh THPT chuẩn bị thi đại học",Dantri,true,Feature Story,2025-01-20,https://dantri.com.vn/edutech-feature,28000,150,150000000,25000000,1200,2.8
"Ra mắt ứng dụng EduTech cho học sinh THPT - Q1/2025",2025-01-01,2025-01-31,"Giới thiệu ứng dụng học tập EduTech mới tích hợp AI cá nhân hóa, tập trung vào học sinh THPT chuẩn bị thi đại học",Thanh Nien,false,News Article,,,0,0,150000000,25000000,1200,2.8
"Ra mắt ứng dụng EduTech cho học sinh THPT - Q1/2025",2025-01-01,2025-01-31,"Giới thiệu ứng dụng học tập EduTech mới tích hợp AI cá nhân hóa, tập trung vào học sinh THPT chuẩn bị thi đại học",VietnamNet,true,Press Release,2025-01-22,https://vietnamnet.vn/edutech-press,18000,85,150000000,25000000,1200,2.8
"Khuyến mãi Black Friday 2024 - Shop thời trang ABC",2024-11-20,2024-11-30,"Chiến dịch khuyến mãi Black Friday với giảm giá lên đến 70% cho toàn bộ sản phẩm thời trang nam nữ",VnExpress,true,News Article,2024-11-25,https://vnexpress.net/black-friday-fashion,55000,420,300000000,40000000,2500,4.2
"Khuyến mãi Black Friday 2024 - Shop thời trang ABC",2024-11-20,2024-11-30,"Chiến dịch khuyến mãi Black Friday với giảm giá lên đến 70% cho toàn bộ sản phẩm thời trang nam nữ",Zing.vn,true,Feature Story,2024-11-26,https://zing.vn/fashion-black-friday,38000,295,300000000,40000000,2500,4.2
"Khuyến mãi Black Friday 2024 - Shop thời trang ABC",2024-11-20,2024-11-30,"Chiến dịch khuyến mãi Black Friday với giảm giá lên đến 70% cho toàn bộ sản phẩm thời trang nam nữ",Eva.vn,true,Product Review,2024-11-27,https://eva.vn/fashion-review,25000,180,300000000,40000000,2500,4.2
"Khuyến mãi Black Friday 2024 - Shop thời trang ABC",2024-11-20,2024-11-30,"Chiến dịch khuyến mãi Black Friday với giảm giá lên đến 70% cho toàn bộ sản phẩm thời trang nam nữ",Kenh14,false,News Article,,,0,0,300000000,40000000,2500,4.2
"IPO công ty Fintech XYZ tại HOSE",2024-12-01,2024-12-31,"Công ty fintech XYZ chính thức niêm yết cổ phiếu tại sàn HOSE với giá 25.000 VNĐ/cổ phiếu",CafeF,true,News Article,2024-12-15,https://cafef.vn/fintech-xyz-ipo,75000,580,500000000,60000000,800,1.6
"IPO công ty Fintech XYZ tại HOSE",2024-12-01,2024-12-31,"Công ty fintech XYZ chính thức niêm yết cổ phiếu tại sàn HOSE với giá 25.000 VNĐ/cổ phiếu",VnEconomy,true,Interview,2024-12-16,https://vneconomy.vn/fintech-xyz-interview,42000,320,500000000,60000000,800,1.6
"IPO công ty Fintech XYZ tại HOSE",2024-12-01,2024-12-31,"Công ty fintech XYZ chính thức niêm yết cổ phiếu tại sàn HOSE với giá 25.000 VNĐ/cổ phiếu",Dau Tu,true,Feature Story,2024-12-18,https://dautu.net/fintech-analysis,38000,250,500000000,60000000,800,1.6
"IPO công ty Fintech XYZ tại HOSE",2024-12-01,2024-12-31,"Công ty fintech XYZ chính thức niêm yết cổ phiếu tại sàn HOSE với giá 25.000 VNĐ/cổ phiếu",Tien Phong,true,Opinion Piece,2024-12-20,https://tienphong.vn/fintech-opinion,28000,185,500000000,60000000,800,1.6
"Festival ẩm thực Tết Nguyên Đán 2025",2025-01-20,2025-02-15,"Tổ chức festival ẩm thực truyền thống Việt Nam dịp Tết Nguyên Đán với 50+ gian hàng đặc sản",VnExpress,true,News Article,2025-01-25,https://vnexpress.net/tet-food-festival,65000,450,200000000,35000000,3000,5.8
"Festival ẩm thực Tết Nguyên Đán 2025",2025-01-20,2025-02-15,"Tổ chức festival ẩm thực truyền thống Việt Nam dịp Tết Nguyên Đán với 50+ gian hàng đặc sản",Nguoi Lao Dong,true,Feature Story,2025-01-28,https://nld.com.vn/tet-festival,42000,315,200000000,35000000,3000,5.8
"Festival ẩm thực Tết Nguyên Đán 2025",2025-01-20,2025-02-15,"Tổ chức festival ẩm thực truyền thống Việt Nam dịp Tết Nguyên Đán với 50+ gian hàng đặc sản",Dan Viet,true,Interview,2025-01-30,https://danviet.vn/festival-interview,35000,220,200000000,35000000,3000,5.8
"Festival ẩm thực Tết Nguyên Đán 2025",2025-01-20,2025-02-15,"Tổ chức festival ẩm thực truyền thống Việt Nam dịp Tết Nguyên Đán với 50+ gian hàng đặc sản",VietnamPlus,false,News Article,,,0,0,200000000,35000000,3000,5.8
"Ra mắt dịch vụ giao hàng drone nội thành",2024-10-01,2024-10-31,"Dịch vụ giao hàng bằng drone đầu tiên tại Việt Nam, phục vụ khu vực nội thành TP.HCM trong 30 phút",VnExpress,true,News Article,2024-10-15,https://vnexpress.net/drone-delivery,85000,650,400000000,80000000,1500,3.5
"Ra mắt dịch vụ giao hàng drone nội thành",2024-10-01,2024-10-31,"Dịch vụ giao hàng bằng drone đầu tiên tại Việt Nam, phục vụ khu vực nội thành TP.HCM trong 30 phút",Tuoi Tre,true,Feature Story,2024-10-17,https://tuoitre.vn/drone-feature,58000,420,400000000,80000000,1500,3.5
"Ra mắt dịch vụ giao hàng drone nội thành",2024-10-01,2024-10-31,"Dịch vụ giao hàng bằng drone đầu tiên tại Việt Nam, phục vụ khu vực nội thành TP.HCM trong 30 phút",VTC News,true,Interview,2024-10-18,https://vtc.vn/drone-interview,45000,285,400000000,80000000,1500,3.5
"Ra mắt dịch vụ giao hàng drone nội thành",2024-10-01,2024-10-31,"Dịch vụ giao hàng bằng drone đầu tiên tại Việt Nam, phục vụ khu vực nội thành TP.HCM trong 30 phút",Dantri,false,News Article,,,0,0,400000000,80000000,1500,3.5
